CODIGO,TRABALHO,COLECAO,ARTE/HOT,SERVICO_GERAL,SERVICO_ESPECIFICO,DATA,QUANTIDADE,PRECO_TOTAL,PRECO_UNIT
3839,KRAFT,COLEÇÃO 2024,RELICÁRIO,HOT,HOT STAMPING,25/10/2023,550,670,1.22
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,25/10/2023,127,254,2
,FRESCOR 2023,FRESCOR 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,25/10/2023,50,80,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,25/10/2023,436,450,1.03
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,25/10/2023,736,450,0.61
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,26/10/2023,141,282,2
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/10/2023,35,56,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/10/2023,140,280,2
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/10/2023,450,340,0.76
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/10/2023,285,340,1.19
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/10/2023,307,450,1.47
2870,ASTRAL,COLEÇÃO 2024,ESPAÇO TEMPO,HOT,HOT STAMPING,26/10/2023,580,1500,2.59
2818,ASTRAL,COLEÇÃO 2024,CARTAS DO ZODÍACO,HOT,HOT STAMPING,26/10/2023,560,1340,2.39
4546,PASTEL BLOCK,COLEÇÃO 2024,LISTRAS,HOT,HOT STAMPING,26/10/2023,560,670,1.20
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,22/05/2023,150,240,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,22/05/2023,103,164.80,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. HIGH TECH,22/05/2023,134,360,2.69
,POLEN,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,22/05/2023,15,24,1.60
,PASTEL BLOCK,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,22/05/2023,6,9.60,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,22/05/2023,245,340,1.39
,LADRILHO,FRESCOR 2023,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,22/05/2023,65,104,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,22/05/2023,580,340,0.59
